0,1,2,3
0.2996,0.2112,0.2888,0.3084
0.3084,0.3084,0.2888,0.3084
0.3084,0.3084,0.2888,0.3084
0.3084,0.3084,0.3084,0.3084
0.3084,0.3164,0.3084,0.3084
0.3084,0.3164,0.3084,0.3084
0.3084,0.3164,0.3084,0.3164
0.3084,0.3164,0.3084,0.3164
0.3084,0.3164,0.3084,0.324
0.3084,0.3164,0.3084,0.3284
0.3084,0.3164,0.3084,0.3284
0.3084,0.3164,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
0.3084,0.324,0.3084,0.3284
