Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
2,"[0.5, 0.5]",0,cp, , , , 
4,"[0.029999999999999999, 0.38]",0,cp,0.8042,0.9055,173.6527,0.7256
4,"[0.57999999999999996, 1.0]",0,im, , , , 
1,"[0.47999999999999998, 0.47999999999999998]",0,im, , , , 
2,"[0.5, 0.5]",0,im,0.961,0.6549,155.3975,0.5727
3,"[0.53000000000000003, 0.54000000000000004]",0,imS, , , , 
1,"[0.47999999999999998, 0.47999999999999998]",0,imS, , , , 
0,"[0.48999999999999999, 0.53000000000000003]",0,imS,1.0,0.4,16.8307,0.0235
1,"[1.0, 1.0]",0,imL,1.0,0.2,14.0581,0.0231
5,"[0.62, 0.90000000000000002]",0,imU,0.9714,0.34,80.4408,0.2808
3,"[0.65000000000000002, 0.88]",0,om,0.9,0.4615,73.7348,0.1866
4,"[0.54000000000000004, 0.58999999999999997]",0,omL, , , , 
1,"[1.0, 1.0]",0,omL, , , , 
2,"[0.5, 0.5]",0,omL,1.0,0.8333,40.2535,0.0585
1,"[0.47999999999999998, 0.47999999999999998]",0,pp, , , , 
0,"[0.56000000000000005, 0.85999999999999999]",0,pp,0.8846,0.5287,113.0313,0.3873
