Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
0,"[0.23000000000000001, 0.57999999999999996]",0,cp, , , , 
4,"[0.14000000000000001, 0.52000000000000002]",0,cp,0.951,0.9189,209.3609,0.8692
4,"[0.60999999999999999, 1.0]",0,im,0.961,0.6549,155.3975,0.5727
3,"[0.53000000000000003, 0.54000000000000004]",0,imS, , , , 
1,"[0.47999999999999998, 0.47999999999999998]",0,imS, , , , 
0,"[0.48999999999999999, 0.53000000000000003]",0,imS,1.0,0.4,16.8307,0.0235
1,"[1.0, 1.0]",0,imL,1.0,0.2,14.0581,0.0231
5,"[0.62, 0.90000000000000002]",0,imU,0.9714,0.34,80.4408,0.2808
3,"[0.65000000000000002, 0.88]",0,om,0.9,0.4615,73.7348,0.1866
1,"[1.0, 1.0]",0,omL, , , , 
4,"[0.54000000000000004, 0.58999999999999997]",0,omL,1.0,0.8333,40.2535,0.0585
1,"[0.47999999999999998, 0.47999999999999998]",0,pp, , , , 
0,"[0.56000000000000005, 1.0]",0,pp,0.9038,0.5222,114.3233,0.3937
