Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
8,['WOOD'],0,WOOD,1.0,1.0,60.5072,0.5126
7,['THROUGH'],0,SUSPEN, , , , 
1,"['25', '1', '26', '30', '6', '48', '3', '28', '27']",0,SUSPEN,1.0,0.4074,30.0872,0.3094
6,['G'],0,SIMPLE-T, , , , 
5,"['2', '?']",0,SIMPLE-T, , , , 
3,"['RR', 'HIGHWAY']",0,SIMPLE-T,0.8864,0.7222,43.1985,0.6258
3,['HIGHWAY'],0,ARCH, , , , 
10,"['S', 'F']",0,ARCH, , , , 
9,"['MEDIUM', 'LONG']",0,ARCH, , , , 
8,['STEEL'],0,ARCH,1.0,0.3421,26.6722,0.3147
2,"['MATURE', 'MODERN']",0,CANTILEV, , , , 
1,"['46', '5', '20', '48', '49', '34', '1', '2', '19', '43']",0,CANTILEV, , , , 
4,"['MEDIUM', 'LONG']",0,CANTILEV,1.0,0.9167,47.9277,0.3681
1,['39'],0,NIL, , , , 
8,['STEEL'],0,NIL, , , , 
2,['MATURE'],0,NIL,1.0,1.0,9.3269,0.0374
5,"['4', '2']",0,CONT-T, , , , 
8,['STEEL'],0,CONT-T, , , , 
1,"['37', '47', '22', '39.5', '9', '33', '14', '11', '38.5']",0,CONT-T,1.0,0.7143,40.4876,0.3275
