Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
8,['WOOD'],0,WOOD, , , , 
10,['S'],0,WOOD,1.0,1.0,60.5072,0.5126
7,['THROUGH'],0,SUSPEN, , , , 
1,"['28', '27', '48', '6', '30', '25', '26', '3', '1']",0,SUSPEN,1.0,0.4074,30.0872,0.3094
5,"['?', '2']",0,SIMPLE-T, , , , 
3,"['RR', 'HIGHWAY']",0,SIMPLE-T, , , , 
6,['G'],0,SIMPLE-T,0.8864,0.7222,43.1985,0.6258
3,['HIGHWAY'],0,ARCH, , , , 
10,"['F', 'S']",0,ARCH, , , , 
9,"['LONG', 'MEDIUM']",0,ARCH, , , , 
8,['STEEL'],0,ARCH,1.0,0.3421,26.6722,0.3147
4,"['MEDIUM', 'LONG']",0,CANTILEV, , , , 
10,"['F', 'S-F']",0,CANTILEV, , , , 
2,"['MATURE', 'MODERN']",0,CANTILEV, , , , 
8,['STEEL'],0,CANTILEV, , , , 
1,"['49', '19', '34', '2', '5', '20', '46', '1', '43', '48']",0,CANTILEV,1.0,0.9167,47.9277,0.3681
4,['?'],0,NIL, , , , 
3,['RR'],0,NIL, , , , 
7,['?'],0,NIL, , , , 
0,['A'],0,NIL,1.0,1.0,9.3269,0.0374
9,"['LONG', 'MEDIUM']",0,CONT-T, , , , 
1,"['9', '47', '22', '11', '38.5', '37', '14', '39.5', '33']",0,CONT-T, , , , 
8,['STEEL'],0,CONT-T,1.0,0.7143,40.4876,0.3275
