Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
8,['WOOD'],0,WOOD, , , , 
0,"['A', 'M']",0,WOOD,1.0,1.0,60.5072,0.5126
1,"['48', '27', '26', '3', '6', '30', '28', '1', '25']",0,SUSPEN, , , , 
7,['THROUGH'],0,SUSPEN,1.0,0.4074,30.0872,0.3094
5,"['2', '?']",0,SIMPLE-T, , , , 
6,['G'],0,SIMPLE-T, , , , 
3,"['RR', 'HIGHWAY']",0,SIMPLE-T,0.8864,0.7222,43.1985,0.6258
3,['HIGHWAY'],0,ARCH, , , , 
8,['STEEL'],0,ARCH, , , , 
10,"['F', 'S']",0,ARCH, , , , 
9,"['LONG', 'MEDIUM']",0,ARCH,1.0,0.3421,26.6722,0.3147
4,"['LONG', 'MEDIUM']",0,CANTILEV, , , , 
9,"['LONG', 'MEDIUM']",0,CANTILEV, , , , 
1,"['43', '2', '49', '46', '48', '34', '19', '20', '5', '1']",0,CANTILEV, , , , 
2,"['MATURE', 'MODERN']",0,CANTILEV,1.0,0.9167,47.9277,0.3681
5,['?'],0,NIL, , , , 
3,['RR'],0,NIL, , , , 
7,['?'],0,NIL,1.0,1.0,9.3269,0.0374
9,"['LONG', 'MEDIUM']",0,CONT-T, , , , 
8,['STEEL'],0,CONT-T, , , , 
1,"['37', '11', '14', '38.5', '33', '9', '39.5', '47', '22']",0,CONT-T,1.0,0.7143,40.4876,0.3275
