Rule_Obj,Rule_Score
"[['ph-ecog', 'ph-karno'], [['2.0', '1.0', '0.0', '3.0'], [60.0, 80.0]]]",0.619968295296113
"[['ph-karno'], [[60.0, 80.0]]]",0.619968295296113
"[['age', 'sex'], [[56, 70], ['2', '1']]]",0.5730845200756188
"[['age', 'ph-ecog'], [[56, 70], ['0.0', '3.0', '2.0', '1.0']]]",0.5730845200756188
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.5710893874612681
"[['sex', 'ph-ecog', 'age'], [['1', '2'], ['2.0', '3.0', '1.0'], [59, 77]]]",0.5567805510132702
"[['age'], [[65, 82]]]",0.5536692900380874
"[['pat-karno', 'ph-karno'], [[70.0, 100.0], [90.0, 100.0]]]",0.5418996132467316
"[['pat-karno', 'ph-ecog'], [[80.0, 100.0], ['1.0', '0.0']]]",0.5272417894691521
"[['ph-ecog', 'sex', 'pat-karno'], [['1.0', '0.0'], ['1', '2'], [80.0, 100.0]]]",0.5036053136932616
