Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
3,"[0.28999999999999998, 1.4299999999999999]",0,1, , , , 
2,"[3.3300000000000001, 3.8599999999999999]",0,1,0.8571,0.6897,89.5101,0.5896
6,"[7.3600000000000003, 8.4299999999999997]",0,2, , , , 
1,"[12.550000000000001, 13.98]",0,2,0.5789,0.6667,55.4204,0.3843
2,"[3.3399999999999999, 3.8999999999999999]",0,3, , , , 
6,"[8.3200000000000003, 9.6500000000000004]",0,3,1.0,0.2297,36.105,0.2079
6,"[9.6999999999999993, 12.5]",0,5,0.7692,0.3333,34.0483,0.1529
7,"[0.0, 0.0]",0,6, , , , 
5,"[0.0, 0.0]",0,6,1.0,0.6429,49.0845,0.1572
3,"[1.79, 2.8799999999999999]",0,7,0.8966,0.6842,84.1979,0.3897
