Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
6,"[8.2200000000000006, 10.17]",0,1, , , , 
2,"[3.3500000000000001, 3.8599999999999999]",0,1,0.8,0.6667,79.7458,0.5331
6,"[7.0800000000000001, 8.4199999999999999]",0,2, , , , 
1,"[12.199999999999999, 14.43]",0,2,0.5789,0.6875,58.1283,0.3976
6,"[8.3200000000000003, 9.6500000000000004]",0,3, , , , 
2,"[3.3399999999999999, 3.8999999999999999]",0,3,1.0,0.2297,36.105,0.2079
2,"[0.0, 0.0]",0,5, , , , 
8,"[0.0, 0.0]",0,5, , , , 
7,"[0.0, 0.0]",0,5,0.5385,0.4667,28.5444,0.1138
5,"[0.0, 0.0]",0,6, , , , 
7,"[0.0, 0.0]",0,6,1.0,0.6429,49.0845,0.1572
2,"[0.0, 0.0]",0,7, , , , 
6,"[6.4699999999999998, 9.7599999999999998]",0,7,0.7931,0.8846,86.2996,0.364
