Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
2,"[3.3300000000000001, 3.8599999999999999]",0,1, , , , 
3,"[0.28999999999999998, 1.4099999999999999]",0,1,0.8429,0.7024,90.1758,0.5892
6,"[7.0800000000000001, 8.3200000000000003]",0,2,0.5395,0.7321,59.324,0.3946
2,"[3.3399999999999999, 3.8999999999999999]",0,3, , , , 
6,"[8.3200000000000003, 9.6500000000000004]",0,3,1.0,0.2297,36.105,0.2079
6,"[9.6999999999999993, 12.5]",0,5,0.7692,0.3333,34.0483,0.1529
5,"[0.0, 0.0]",0,6, , , , 
7,"[0.0, 0.0]",0,6,1.0,0.6429,49.0845,0.1572
2,"[0.0, 0.0]",0,7, , , , 
6,"[6.4699999999999998, 9.7599999999999998]",0,7,0.7931,0.8846,86.2996,0.364
